id,form_id,variable_type_id,source,descriptor
LANGB9F,Z1X,O,v3,B9F Clinical PPA and bvFTD Features - language
LANGC1F,Z1X,O,v3,CF Neuropsychological battery Summary Scores - language
LANGC2F,Z1X,O,v3,CF Social Norms Questionnaire - language
LANGC3F,Z1X,O,v3,C3F Social behavior Observer Checklist - language
LANGC4F,Z1X,O,v3,C4F behavioral Inhibition Scale - language
LANGC5F,Z1X,O,v3,C5F Interpersonal Reactivity Index - language
LANGC6F,Z1X,O,v3,C6F Revised Self-monitoring Scale - language
LANGE2F,Z1X,O,v3,E2F Imaging Available - language
LANGE3F,Z1X,O,v3,E3F Imaging in Diagnosis - language
LANGCLS,Z1X,O,v3,CLS Subject Demographics - language
CLSSUB,Z1X,O,v3,B3F Subject Demographics - language
NACCSPNL,CLS,D,v3,Average Spanish level (average of Questions 6 - 9)
NACCENGL,CLS,D,v3,Average English level (average of Questions 11 - 14)
APREFLAN,CLS,O,v3,In what language do you prefer to be evaluated (English or Spanish)
AYRSPAN,CLS,O,v3,How many years have you lived in an environment where people generally speak Spanish
AYRENGL,CLS,O,v3,How many years have you lived in an environment where people generally speak English
APCSPAN,CLS,O,v3,Please approximate the percentage of time during a normal/average day that you use Spanish
APCENGL,CLS,O,v3,Please approximate the percentage of time during a normal/average day that you use English
ASPKSPAN,CLS,O,v3,"In your opinion, what is your level of proficiency when you speak Spanish"
AREASPAN,CLS,O,v3,"In your opinion, what is your level of proficiency when you read Spanish"
AWRISPAN,CLS,O,v3,"In your opinion, what is your level of proficiency when you write in Spanish"
AUNDSPAN,CLS,O,v3,"In your opinion, what is your level of proficiency for understanding spoken/ oral Spanish"
ASPKENGL,CLS,O,v3,"In your opinion, what is your level of proficiency when you speak English"
AREAENGL,CLS,O,v3,"In your opinion, what is your level of proficiency when you read English"
AWRIENGL,CLS,O,v3,"In your opinion, what is your level of proficiency when you write in English"
AUNDENGL,CLS,O,v3,"In your opinion, what is your level of proficiency for understanding spoken/ oral English"
NACCFTD,U3,D,v3,One or more FTLD Module visits completed
NACCLBDM,U3,D,v3,One or more LBD Module visits completed
NACCNMRI,U3,D,v3,Total number of MRI sessions
NACCMRSA,U3,D,v3,At least one MRI scan available
NACCNAPA,U3,D,v3,Total number of amyloid PET scans available
NACCAPSA,U3,D,v3,At least one amyloid PET scan available
NACCACSF,U3,D,v3,One or more measures of Aβ1-42 reported
NACCPCSF,U3,D,v3,One or more measures of P-tau181P reported
NACCTCSF,U3,D,v3,One or more measures of T-tau reported
NACCAUTP,U3,D,v3,Neuropathology data from an autopsy is available
NACCAPOE,G1,D,,APOE genotype
NACCNE4S,G1,D,,Number of APOE e4 alleles
